ID_CULTIVO,N_EVENTOS_DESPESCA,KG_DESPESCADO,KG_VENDIDO,KG_DOADO,ANIMAIS_DESPESCADOS,PESO_MEDIO_DESPESCA,N_DESBASTES,VIVEIRO,QUANTIDADE_PL,TAMANHO_AREA,SOBREVIVENCIA,PRODUTIVIDADE_KG_HA,SOBREVIVENCIA_VALIDA
V12B2_C5,1,46.0,46.0,0.0,3357.6642335766423,13.7,0,12B2,10000.0,0.122,0.3357664233576642,377.04918032786884,True
V12B2_C6,1,74.0,74.0,0.0,3758.252920264093,19.69,0,12B2,20000.0,0.122,0.18791264601320465,606.5573770491803,True
V12B2_C7,1,52.0,52.0,0.0,1625.0,32.0,0,12B2,10000.0,0.122,0.1625,426.2295081967213,True
V12B2_C8,2,145.0,145.0,0.0,5837.359098228663,24.84,0,12B2,10500.0,0.122,0.5559389617360632,1188.5245901639344,True
V12B3_C1,1,211.0,211.0,0.0,13430.935709739018,15.71,0,12B3,49500.0,0.357,0.2713320345401822,591.0364145658264,True
V12B3_C2,2,419.0,419.0,0.0,23320.290161200668,17.99,1,12B3,55000.0,0.357,0.42400527565819396,1173.6694677871149,True
V12B3_C3,1,218.0,218.0,0.0,8720.0,25.0,0,12B3,85000.0,0.357,0.10258823529411765,610.6442577030813,True
V12B3_C4,1,150.0,150.0,0.0,68181.81818181818,2.2,0,12B3,70000.0,0.357,0.9740259740259739,420.1680672268908,True
V12B3_C5,2,252.0,252.0,0.0,6295.570718647641,40.56,0,12B3,82000.0,0.357,0.07677525266643465,705.8823529411765,True
V12B3_C6,4,495.0,495.0,0.0,43140.84556077961,12.9,2,12B3,3770.0,0.357,11.44319510896011,1386.5546218487395,False
V12B3_C7,1,277.0,277.0,0.0,16547.192353643968,16.74,0,12B3,25000.0,0.357,0.6618876941457588,775.9103641456583,True
V12B3_C8,1,200.0,200.0,0.0,17482.517482517484,11.44,0,12B3,4500.0,0.357,3.885003885003885,560.2240896358544,False
V12B4_C1,1,942.0,942.0,0.0,54767.44186046512,17.2,0,12B4,165000.0,0.915,0.331923890063425,1029.5081967213114,True
V12B4_C2,2,1419.0,1396.0,23.0,55987.246773562765,25.57,0,12B4,140000.0,0.915,0.39990890552544833,1550.8196721311474,True
V12B4_C3,1,1096.5,1096.5,0.0,85530.42121684867,12.82,0,12B4,122000.0,0.915,0.701069026367612,1198.360655737705,True
V12B4_C4,2,1317.0,1317.0,0.0,70442.98734177215,19.75,1,12B4,180000.0,0.915,0.39134992967651194,1439.344262295082,True
V12B4_C5,2,225.0,225.0,0.0,125000.0,1.8,0,12B4,200000.0,0.915,0.625,245.9016393442623,True
V12B4_C6,4,1007.5,1006.5,1.0,73469.34989788973,14.69,3,12B4,190000.0,0.915,0.38668078893626173,1101.0928961748634,True
V12B4_C9,4,853.5,853.5,0.0,55806.45434298441,17.96,3,12B4,110000.0,0.915,0.5073314031180401,932.7868852459017,True
V12B5_C1,4,2745.0,2735.0,10.0,173053.16082499342,19.67,2,12B5,257400.0,2.59,0.6723122021173016,1059.8455598455598,True
V12B5_C2,2,2372.0,2372.0,0.0,150721.36842105264,9.92,1,12B5,260000.0,2.59,0.5796975708502025,915.8301158301159,True
V12B5_C3,4,2153.0,2147.0,6.0,169965.0,11.72,3,12B5,285000.0,2.59,0.5963684210526315,831.2741312741313,True
V12B5_C4,2,2028.0,2028.0,0.0,210329.87898089172,9.42,1,12B5,280000.0,2.59,0.7511781392174705,783.0115830115831,True
V12B5_C5,6,1394.0,1394.0,0.0,98130.49800008918,14.58,3,12B5,300000.0,2.59,0.3271016600002973,538.2239382239383,True
V12B5_C7,1,1638.0,1638.0,0.0,126388.88888888888,12.96,0,12B5,245000.0,2.59,0.5158730158730158,632.4324324324325,True
V13_C1,3,2938.0,2938.0,0.0,214371.01525658806,14.42,1,13,240000.0,3.01,0.8932125635691169,976.0797342192692,True
