DATA,KG_VENDA,KG_DOACAO,NF,PESO_MEDIO,QTD_ANIMAIS_TEXTO,DESBASTE,KG,ID_CULTIVO,VIVEIRO,QTD_ANIMAIS_CALC,QTD_ANIMAIS
02/06/2024,240.0,0.0,1.598,21.41,11209.0,True,240.0,V12A_C4,12A,11209.71508640822,11209.0
29/03/2023,56.0,0.0,1.375,10.29,,False,56.0,V11B_C2,11B,5442.1768707483,5442.1768707483
08/06/2024,163.0,0.0,,21.34,7638.0,False,163.0,V12A_C4,12A,7638.238050609185,7638.0
04/03/2023,118.0,0.0,1.397,16.01,,False,118.0,V11B_C2,11B,7370.393504059962,7370.393504059962
04/07/2023,1710.0,0.0,1.428,25.19,,False,1710.0,V11B_C2,11B,67884.08098451766,67884.08098451766
04/07/2023,183.0,0.0,1.427,25.19,,False,183.0,V11B_C2,11B,7264.787614132592,7264.787614132592
28/09/2023,2072.0,0.0,1.481,10.2,203137.0,True,2072.0,V12A_C3,12A,203137.2549019608,203137.0
28/09/2023,222.0,0.0,1.482,10.2,21764.0,True,222.0,V12A_C3,12A,21764.705882352944,21764.0
07/06/2023,696.0,0.0,1.414,19.14,,False,696.0,V11B_C2,11B,36363.63636363636,36363.63636363636
17/11/2023,127.0,0.0,1.504,16.11,,False,127.0,V12A_C3,12A,7883.302296710118,7883.302296710118
16/05/2023,373.0,0.0,1.404,16.57,,False,373.0,V11B_C2,11B,22510.561255280627,22510.561255280627
17/11/2023,4437.0,0.0,1.503,16.11,,False,4437.0,V12A_C3,12A,275418.9944134078,275418.9944134078
07/04/2025,616.0,0.0,1.761,12.27,50203.0,True,616.0,V11B_C8,11B,50203.74898125509,50203.0
09/06/2023,14.0,0.0,1.417,6.55,,False,14.0,V11C_C3,11C,2137.4045801526718,2137.4045801526718
10/06/2023,149.0,0.0,1.418,5.92,,False,149.0,V11C_C3,11C,25168.91891891892,25168.91891891892
20/09/2023,2576.0,0.0,1.474,13.71,,False,2576.0,V11C_C4,11C,187892.04959883296,187892.04959883296
04/01/2024,220.0,0.0,1.524,10.34,21276.0,True,220.0,V11C_C5,11C,21276.59574468085,21276.0
26/01/2024,200.0,0.0,1.528,13.63,14673.0,True,200.0,V11C_C5,11C,14673.514306676449,14673.0
26/03/2025,288.0,0.0,1.749,10.86,26519.0,True,288.0,V11B_C8,11B,26519.337016574587,26519.0
20/03/2025,150.0,0.0,1.743,8.78,17084.0,True,150.0,V11B_C8,11B,17084.282460136674,17084.0
19/03/2025,164.0,0.0,1.742,9.32,17596.0,True,164.0,V11B_C8,11B,17596.56652360515,17596.0
07/04/2024,714.0,0.0,1.562,19.88,35915.0,True,714.0,V11C_C5,11C,35915.49295774648,35915.0
24/02/2024,400.0,0.0,1.542,19.19,,False,400.0,V11B_C4,11B,20844.189682126107,20844.189682126107
09/04/2024,614.0,0.0,1.567,18.66,,False,614.0,V11C_C5,11C,32904.60878885316,32904.60878885316
