ID_CULTIVO,VIVEIRO,ORDEM,DIAS,RACAO_ACUM,RACAO_ACUM_POR_PL,DENSIDADE_PL_M2,SUP_05,TEMP_05,PH_05,SAL_14,PESO
V6_C1,6,126,122.0,2031.0,0.011410112359550561,17.12,4.0,28.5,8.4,35.0,16.5
V6_C2,6,35,22.0,86.0,0.00041951219512195123,19.71,3.2,29.2,8.3,38.0,1.9
V6_C2,6,42,29.0,156.0,0.0007609756097560976,19.71,4.7,28.2,8.3,42.0,2.4
V6_C2,6,49,36.0,266.0,0.001297560975609756,19.71,3.7,28.1,8.3,40.0,3.0
V6_C2,6,56,43.0,399.0,0.0019463414634146342,19.71,3.6,28.8,8.3,36.0,3.5
V6_C2,6,63,50.0,571.0,0.0027853658536585364,19.71,3.4,28.4,8.3,37.0,4.1
V6_C2,6,70,57.0,754.0,0.0036780487804878048,19.71,4.0,28.2,8.3,40.0,4.6
V6_C2,6,77,64.0,948.0,0.004624390243902439,19.71,3.3,29.4,8.3,40.0,6.0
V6_C2,6,84,71.0,1156.0,0.005639024390243903,19.71,3.3,28.5,8.3,39.0,6.5
V6_C2,6,91,78.0,1366.0,0.006663414634146342,19.71,3.6,29.6,8.3,39.0,7.3
V6_C2,6,98,85.0,1576.0,0.007687804878048781,19.71,3.0,29.4,8.3,40.0,8.3
V6_C2,6,105,92.0,1786.0,0.008712195121951219,19.71,2.9,28.4,7.7,39.0,9.6
V6_C2,6,112,99.0,1989.0,0.009702439024390243,19.71,3.8,29.3,7.7,40.0,9.6
V6_C2,6,119,106.0,2228.0,0.01086829268292683,19.71,3.6,28.6,7.7,39.0,11.3
V6_C2,6,126,113.0,2458.0,0.011990243902439024,19.71,3.2,29.4,7.7,38.0,12.5
V6_C2,6,133,120.0,2703.0,0.013185365853658537,19.71,3.7,28.3,7.7,35.0,15.0
V6_C2,6,140,127.0,2948.0,0.014380487804878049,19.71,2.5,29.4,7.7,33.0,16.2
V6_C2,6,147,134.0,3173.0,0.015478048780487804,19.71,1.4,30.0,7.7,,16.5
V6_C2,6,154,141.0,3418.0,0.016673170731707317,19.71,3.0,29.6,7.7,26.0,17.5
V6_C2,6,161,148.0,3593.0,0.017526829268292684,19.71,,,,,17.5
V6_C3,6,28,24.0,190.0,0.0011176470588235294,16.35,3.4,29.0,8.4,29.0,2.5
V6_C3,6,35,31.0,360.0,0.0021176470588235292,16.35,3.8,28.5,8.4,30.0,2.5
V6_C3,6,42,38.0,537.0,0.0031588235294117647,16.35,3.4,28.4,8.4,28.0,3.5
V6_C3,6,49,45.0,732.0,0.004305882352941177,16.35,4.1,28.0,8.4,32.0,4.7
V6_C3,6,56,52.0,927.0,0.005452941176470588,16.35,3.1,27.1,8.4,31.0,5.4
V6_C3,6,63,59.0,1132.0,0.006658823529411765,16.35,4.5,27.1,8.4,32.0,5.9
V6_C3,6,70,66.0,1392.0,0.008188235294117647,16.35,3.4,27.2,8.4,30.0,7.1
V6_C3,6,77,73.0,1649.0,0.0097,16.35,3.6,27.4,8.4,28.0,9.4
V6_C3,6,84,80.0,1894.0,0.011141176470588236,16.35,4.1,27.6,8.4,30.0,10.2
V6_C3,6,91,87.0,2129.0,0.012523529411764706,16.35,3.9,27.2,8.4,30.0,11.0
V6_C3,6,98,94.0,2374.0,0.013964705882352942,16.35,4.4,25.9,8.4,30.0,11.6
V6_C3,6,105,101.0,2604.0,0.01531764705882353,16.35,3.1,26.9,8.4,30.0,13.4
V6_C3,6,112,108.0,2849.0,0.016758823529411764,16.35,3.0,27.0,8.4,30.0,15.1
V6_C3,6,119,115.0,3069.0,0.018052941176470588,16.35,3.9,26.2,8.4,30.0,15.7
V6_C3,6,126,122.0,3309.0,0.01946470588235294,16.35,3.5,27.5,8.4,29.0,15.7
V6_C3,6,133,129.0,3549.0,0.020876470588235295,16.35,2.8,28.3,8.4,30.0,17.5
V6_C4,6,28,20.0,64.0,0.00032,19.23,4.1,27.9,8.1,31.0,1.0
V6_C4,6,35,27.0,114.0,0.00057,19.23,4.1,,8.1,32.0,2.0
V6_C4,6,42,34.0,209.0,0.001045,19.23,3.2,27.8,8.1,32.0,2.7
V6_C4,6,49,41.0,314.0,0.00157,19.23,4.6,27.1,8.1,32.0,3.7
V6_C4,6,56,48.0,417.0,0.002085,19.23,4.0,27.9,8.1,33.0,4.9
V6_C4,6,63,55.0,541.0,0.002705,19.23,4.0,27.4,8.1,35.0,5.6
V6_C4,6,70,62.0,673.0,0.003365,19.23,3.6,28.4,8.1,36.0,6.9
V6_C4,6,77,69.0,811.0,0.004055,19.23,3.9,27.9,8.1,37.0,8.0
V6_C4,6,84,76.0,981.0,0.004905,19.23,3.0,29.1,8.1,38.0,9.3
V6_C4,6,91,83.0,1131.0,0.005655,19.23,4.6,28.3,8.1,,10.0
V6_C4,6,98,90.0,1323.0,0.006615,19.23,3.8,28.9,8.4,35.0,12.0
V6_C4,6,105,97.0,1521.0,0.007605,19.23,4.4,28.5,8.4,35.0,14.0
V6_C4,6,112,104.0,1729.0,0.008645,19.23,3.8,28.5,8.4,32.0,15.0
V6_C4,6,119,111.0,1954.0,0.00977,19.23,2.2,28.9,8.5,34.0,17.0
V6_C5,6,21,3.7,,,51.92,,,,,1.3
V6_C5,6,28,13.0,100.0,0.00018518518518518518,51.92,3.9,29.1,8.7,35.0,1.7
V6_C5,6,35,20.0,205.0,0.0003796296296296296,51.92,,,,33.0,1.8
V6_C5,6,42,27.0,325.0,0.0006018518518518519,51.92,,,,,2.1
V6_C5,6,49,34.0,550.0,0.0010185185185185184,51.92,2.8,28.9,8.6,31.0,2.5
V6_C5,6,56,41.0,670.0,0.0012407407407407408,51.92,3.9,29.6,8.6,30.0,3.2
V6_C5,6,63,48.0,,,51.92,3.2,29.3,8.6,32.0,3.5
V6_C5,6,70,55.0,1028.0,0.0019037037037037037,51.92,2.8,28.7,8.6,32.0,4.2
V6_C5,6,77,62.0,1258.0,0.00232962962962963,51.92,3.0,29.1,8.6,32.0,4.9
V6_C5,6,91,76.0,1738.0,0.0032185185185185186,51.92,2.6,29.6,8.6,28.0,5.5
V6_C5,6,98,83.0,2073.0,0.003838888888888889,51.92,2.3,28.3,8.6,29.0,7.5
V6_C5,6,105,90.0,2423.0,0.004487037037037037,51.92,2.8,29.6,8.6,25.0,8.8
V6_C5,6,112,97.0,2773.0,0.005135185185185185,51.92,,,,,9.6
V6_C5,6,119,104.0,3123.0,0.005783333333333333,51.92,,,,,12.5
V6_C5,6,126,111.0,3473.0,0.006431481481481482,51.92,3.8,30.0,8.5,,12.8
V6_C5,6,133,118.0,3763.0,0.006968518518518519,51.92,4.4,28.4,8.5,20.0,15.5
V6_C5,6,140,125.0,4043.0,0.007487037037037037,51.92,3.6,29.9,8.2,20.0,16.5
V6_C5,6,147,132.0,4193.0,0.007764814814814815,51.92,4.0,29.7,8.2,,16.5
V6_C6,6,42,26.0,161.0,0.0014,11.06,5.2,27.3,,10.0,3.0
V6_C6,6,49,33.0,286.0,0.0024869565217391304,11.06,4.6,26.1,,10.0,4.4
V6_C6,6,56,40.0,411.0,0.0035739130434782607,11.06,5.2,25.1,9.1,14.0,5.7
V6_C6,6,63,47.0,551.0,0.004791304347826087,11.06,4.3,26.7,9.1,13.0,7.3
V6_C6,6,70,54.0,691.0,0.006008695652173913,11.06,5.5,26.1,9.1,16.0,9.3
V6_C6,6,77,61.0,831.0,0.007226086956521739,11.06,3.3,27.0,9.1,,9.3
V6_C6,6,84,68.0,975.0,0.008478260869565218,11.06,3.9,25.8,9.1,20.0,10.0
V6_C6,6,91,75.0,1076.0,0.009356521739130435,11.06,4.7,25.8,9.1,20.0,10.3
V6_C6,6,98,82.0,1184.0,0.010295652173913044,11.06,4.6,25.6,9.1,20.0,10.9
